supplier_id,supplier_name,event_date,disrupted_30d,source,delay_days,volume_impact_pct
taiwan-semiconductor-corp,Taiwan Semiconductor Corp,2021-03-15,1,TSMC water shortage / chip crunch — Reuters Mar 2021,21,42.0
taiwan-semiconductor-corp,Taiwan Semiconductor Corp,2022-08-10,1,Taiwan Strait tension — supply chain risk case study,21,42.0
taiwan-semiconductor-corp,Taiwan Semiconductor Corp,2024-04-03,1,Hualien earthquake fab disruption — Taiwan MOEA Apr 2024,21,42.0
acme-electronics-ltd,Acme Electronics Ltd,2022-04-01,1,Shanghai COVID lockdown supplier delays — McKinsey 2022,18,28.5
acme-electronics-ltd,Acme Electronics Ltd,2021-03-23,1,Suez Canal backlog component delays — BCG 2021,18,28.5
acme-electronics-ltd,Acme Electronics Ltd,2019-05-10,0,Pre-trade-war stable electronics baseline,,
shanghai-manufacturing-co,Shanghai Manufacturing Co,2022-04-01,1,Shanghai COVID lockdown — public supply chain reports,35,55.0
shanghai-manufacturing-co,Shanghai Manufacturing Co,2022-05-15,1,Zero-COVID factory closures — Nikkei Asia 2022,35,55.0
shanghai-manufacturing-co,Shanghai Manufacturing Co,2018-07-01,0,Stable pre-pandemic manufacturing baseline,,
istanbul-manufacturing,Istanbul Manufacturing,2023-02-06,1,Turkey earthquake supply disruption — UN OCHA 2023,12,38.0
istanbul-manufacturing,Istanbul Manufacturing,2016-07-15,1,Turkey coup attempt logistics freeze — public case studies,12,38.0
istanbul-precision-parts,Istanbul Precision Parts,2023-02-06,1,Turkey earthquake — regional manufacturing halt,10,25.0
istanbul-precision-parts,Istanbul Precision Parts,2019-03-01,0,Stable Turkey precision parts baseline,,
tel-aviv-electronics,Tel Aviv Electronics,2023-10-07,1,Israel-Gaza conflict logistics disruption — public case studies,14,30.0
tel-aviv-electronics,Tel Aviv Electronics,2024-04-14,1,Iran retaliatory strikes — regional air freight disruption,14,30.0
tel-aviv-electronics,Tel Aviv Electronics,2019-06-01,0,Stable Israel electronics export baseline,,
jakarta-industrial,Jakarta Industrial,2020-03-20,1,COVID-19 Indonesia factory closures — World Bank,14,20.0
jakarta-industrial,Jakarta Industrial,2018-09-28,1,Sulawesi earthquake supply ripple — ASEAN reports,,
manila-electronics,Manila Electronics,2020-03-25,1,COVID-19 Philippines export delays,14,20.0
manila-electronics,Manila Electronics,2013-11-08,1,Typhoon Haiyan logistics disruption — UN OCHA,,
sao-paulo-manufacturing,Sao Paulo Manufacturing,2020-04-10,1,Brazil COVID industrial shutdown — OECD,14,20.0
sao-paulo-manufacturing,Sao Paulo Manufacturing,2015-05-01,1,Brazil recession industrial contraction — OECD,,
cairo-manufacturing,Cairo Manufacturing,2020-03-30,1,COVID-19 Egypt manufacturing pause,14,20.0
cairo-manufacturing,Cairo Manufacturing,2011-01-25,1,Arab Spring manufacturing pause — World Bank,,
rotterdam-components,Rotterdam Components,2021-03-23,1,Ever Given Suez backlog — port congestion case study,9,22.0
rotterdam-components,Rotterdam Components,2024-01-12,1,Red Sea rerouting — Rotterdam hub congestion — Reuters Jan 2024,9,22.0
rotterdam-components,Rotterdam Components,2022-08-05,1,Rhine drought barge delays — European logistics,9,22.0
rotterdam-components,Rotterdam Components,2019-06-01,0,Pre-Suez stable operations,,
hamburg-industrial-gmbh,Hamburg Industrial GmbH,2021-03-23,1,Suez Canal blockage ripple — BCG supply chain,11,26.0
hamburg-industrial-gmbh,Hamburg Industrial GmbH,2024-01-15,1,Red Sea shipping diversions — EU port delays,11,26.0
hamburg-industrial-gmbh,Hamburg Industrial GmbH,2022-08-01,1,Rhine low water freight disruption — EU drought 2022,11,26.0
dubai-logistics-hub,Dubai Logistics Hub,2024-01-10,1,Red Sea / Bab-el-Mandeb rerouting — Jebel Ali congestion,7,18.0
dubai-logistics-hub,Dubai Logistics Hub,2021-03-25,1,Suez blockage Gulf logistics ripple — case studies,7,18.0
dubai-logistics-hub,Dubai Logistics Hub,2020-03-15,1,COVID-19 Gulf port slowdown — IHS Markit,7,18.0
dubai-logistics-hub,Dubai Logistics Hub,2019-08-15,0,Stable Gulf logistics hub,,
tokyo-robotics-inc,Tokyo Robotics Inc,2011-03-11,1,Fukushima earthquake supply chain — MIT case study,45,60.0
tokyo-robotics-inc,Tokyo Robotics Inc,2024-01-02,1,Noto peninsula earthquake logistics — Japan METI,45,60.0
tokyo-robotics-inc,Tokyo Robotics Inc,2019-07-01,0,Stable period — baseline negative class,,
osaka-electronics-group,Osaka Electronics Group,2011-03-15,1,Tohoku earthquake component shortages — public reports,14,20.0
osaka-electronics-group,Osaka Electronics Group,2024-01-01,1,Noto earthquake Jan 2024 — component supply caution,,
osaka-electronics-group,Osaka Electronics Group,2019-08-01,0,Stable period — baseline negative class,,
seoul-precision-parts,Seoul Precision Parts,2019-07-01,0,Stable period — no material disruption reported,,
korea-truckers-strike-2022,Korea National Trucking,2022-11-01,1,Korea truckers strike — industrial output dip — Reuters Nov 2022,14,20.0
detroit-motors-supply,Detroit Motors Supply,2021-02-15,1,North America semiconductor shortage — auto OEM case study,14,20.0
detroit-motors-supply,Detroit Motors Supply,2023-09-15,1,UAW strike auto supply chain — Reuters Sep 2023,,
detroit-motors-supply,Detroit Motors Supply,2019-10-01,0,Stable US auto supply baseline,,
toronto-components,Toronto Components,2019-11-01,0,Stable North America baseline,,
canada-convoy-2022,Canada Cross-border Freight,2022-02-01,1,Canada convoy border crossing delays — supply chain news,14,20.0
melbourne-logistics,Melbourne Logistics,2019-12-01,0,Stable APAC logistics baseline,,
victoria-covid-2020,Victoria Port Operations,2020-07-01,1,Victoria COVID lockdown port slowdown — public reports,14,20.0
warsaw-electronics,Warsaw Electronics,2020-01-15,0,Pre-pandemic stable baseline,,
warsaw-electronics,Warsaw Electronics,2022-11-01,0,Post-initial Ukraine shock stabilization period,,
ukraine-border-logistics-2022,Eastern EU Cross-border,2022-03-01,1,Ukraine war border logistics — EU supply rerouting,14,20.0
bangalore-tech-solutions,Bangalore Tech Solutions,2019-07-20,0,Stable IT supply baseline,,
bangalore-tech-solutions,Bangalore Tech Solutions,2022-06-01,0,Stable India IT services recovery period,,
india-covid-it-2020,India IT Services Sector,2020-03-25,1,India COVID lockdown IT services — World Bank,14,20.0
mumbai-chemicals-ltd,Mumbai Chemicals Ltd,2019-06-10,0,Stable chemicals export baseline,,
mumbai-chemicals-ltd,Mumbai Chemicals Ltd,2022-06-01,0,Stable chemicals export recovery period,,
india-covid-chemicals-2020,India Chemicals Sector,2020-03-28,1,India COVID chemical plant restrictions,14,20.0
ho-chi-minh-assembly,Ho Chi Minh Assembly,2021-07-01,1,Vietnam COVID factory shutdowns — public reports,14,20.0
ho-chi-minh-assembly,Ho Chi Minh Assembly,2019-05-01,0,Stable Vietnam assembly baseline,,
bangkok-components,Bangkok Components,2021-07-15,1,Thailand COVID manufacturing disruption,14,20.0
bangkok-components,Bangkok Components,2011-10-01,1,Thailand floods electronics supply — MIT case study,,
johannesburg-mining-tech,Johannesburg Mining Tech,2021-07-12,1,South Africa unrest logistics — July 2021,14,20.0
johannesburg-mining-tech,Johannesburg Mining Tech,2023-02-01,0,Stable mining tech export baseline,,
nairobi-logistics,Nairobi Logistics,2020-05-01,0,East Africa stable logistics baseline,,
red-sea-east-africa-2024,East Africa Import Corridor,2024-04-01,1,Red Sea shipping cost spike East Africa imports,14,20.0
los-angeles-logistics,Los Angeles Logistics,2021-10-01,1,LA/Long Beach port congestion — supply chain crisis,14,20.0
los-angeles-logistics,Los Angeles Logistics,2024-01-20,1,Red Sea rerouting West Coast import delays,,
los-angeles-logistics,Los Angeles Logistics,2019-11-20,0,Stable US West Coast baseline,,
houston-chemicals,Houston Chemicals,2019-10-05,0,Stable US Gulf chemicals baseline,,
texas-winter-storm-uri-2021,Texas Petrochemical Belt,2021-02-17,1,Texas winter storm Uri — petrochemical shutdown,14,20.0
hurricane-beryl-2024,Gulf Coast Petrochemical,2024-07-08,1,Hurricane Beryl Gulf Coast petrochemical caution,,
mexico-city-assembly,Mexico City Assembly,2020-04-05,1,COVID-19 Mexico maquiladora pause — OECD,,
mexico-city-assembly,Mexico City Assembly,2024-03-01,1,Nearshoring capacity strain — public industry reports,,
mexico-city-assembly,Mexico City Assembly,2019-09-01,0,Stable NAFTA assembly baseline,,
singapore-precision-pte,Singapore Precision Pte,2019-09-01,0,Stable hub operations — negative class,,
global-chip-shortage-2021,Global Semiconductor Shortage,2021-10-01,1,Global chip shortage hub delays — public reports,,
singapore-circuit-breaker-2020,Singapore Manufacturing Hub,2020-04-01,1,COVID-19 Singapore circuit breaker — gov reports,,
panama-canal-drought-2023,Panama Canal Transit,2023-08-01,1,Panama Canal drought restrictions — Reuters Aug 2023,,
ever-given-global-2021,Suez Canal Global Shipping,2021-03-23,1,Ever Given blockage — global trade case study,6,12.0
covid-wuhan-lockdown-2020,Wuhan Manufacturing Belt,2020-01-23,1,Wuhan COVID lockdown — first supply chain shock,60,70.0
red-sea-houthi-2024,Red Sea Shipping Lane,2024-01-01,1,Houthi attacks Red Sea diversions — public reports,16,35.0
